"electiondate","land","electiondate_l1","party","vote_share","on_ballot","vote_share_l1"
"1946-10-13","hb",NA,"cdu",18.8999996185303,1,NA
"1946-10-13","hb",NA,"fdp",18.2999992370605,1,NA
"1946-10-13","hb",NA,"spd",47.5999984741211,1,NA
"1946-10-13","hh",NA,"cdu",26.7000007629395,1,NA
"1946-10-13","hh",NA,"fdp",18.2000007629395,1,NA
"1946-10-13","hh",NA,"spd",43.0999984741211,1,NA
"1946-12-01","by",NA,"cdu",52.2999992370605,1,NA
"1946-12-01","by",NA,"fdp",5.59999990463257,1,NA
"1946-12-01","by",NA,"spd",28.6000003814697,1,NA
"1946-12-01","he",NA,"cdu",30.8999996185303,1,NA
"1946-12-01","he",NA,"fdp",15.6999998092651,1,NA
"1946-12-01","he",NA,"spd",42.7000007629395,1,NA
"1947-02-20","ni",NA,"cdu",19.8999996185303,1,NA
"1947-02-20","ni",NA,"fdp",8.80000019073486,1,NA
"1947-02-20","ni",NA,"npd",17.8999996185303,1,NA
"1947-02-20","ni",NA,"spd",43.4000015258789,1,NA
"1947-02-20","sh",NA,"cdu",34.0999984741211,1,NA
"1947-02-20","sh",NA,"fdp",5,1,NA
"1947-02-20","sh",NA,"spd",43.7999992370605,1,NA
"1947-04-20","nw",NA,"cdu",37.5999984741211,1,NA
"1947-04-20","nw",NA,"fdp",5.90000009536743,1,NA
"1947-04-20","nw",NA,"spd",32,1,NA
"1947-05-18","rp",NA,"cdu",47.2000007629395,1,NA
"1947-05-18","rp",NA,"fdp",9.80000019073486,1,NA
"1947-05-18","rp",NA,"spd",34.2999992370605,1,NA
"1947-10-05","sl",NA,"fdp",7.59999990463257,1,NA
"1947-10-12","hb","1946-10-13","cdu",22,1,18.8999996185303
"1947-10-12","hb","1946-10-13","fdp",19.3999996185303,1,18.2999992370605
"1947-10-12","hb","1946-10-13","spd",41.7000007629395,1,47.5999984741211
"1949-10-16","hh","1946-10-13","cdu",34.5,1,26.7000007629395
"1949-10-16","hh","1946-10-13","spd",42.7999992370605,1,43.0999984741211
"1950-06-18","nw","1947-04-20","cdu",36.9000015258789,1,37.5999984741211
"1950-06-18","nw","1947-04-20","fdp",12.1000003814697,1,5.90000009536743
"1950-06-18","nw","1947-04-20","spd",32.2999992370605,1,32
"1950-07-09","sh","1947-02-20","cdu",19.7999992370605,1,34.0999984741211
"1950-07-09","sh","1947-02-20","fdp",7.09999990463257,1,5
"1950-07-09","sh","1947-02-20","spd",27.5,1,43.7999992370605
"1950-11-19","he","1946-12-01","cdu",18.7999992370605,1,30.8999996185303
"1950-11-19","he","1946-12-01","fdp",31.7999992370605,1,15.6999998092651
"1950-11-19","he","1946-12-01","spd",44.4000015258789,1,42.7000007629395
"1950-11-26","by","1946-12-01","cdu",27.3999996185303,1,52.2999992370605
"1950-11-26","by","1946-12-01","fdp",7.09999990463257,1,5.59999990463257
"1950-11-26","by","1946-12-01","spd",28,1,28.6000003814697
"1950-12-03","be",NA,"cdu",24.7000007629395,1,NA
"1950-12-03","be",NA,"fdp",23.1000003814697,1,NA
"1950-12-03","be",NA,"spd",44.7000007629395,1,NA
"1951-04-29","rp","1947-05-18","cdu",39.2000007629395,1,47.2000007629395
"1951-04-29","rp","1947-05-18","fdp",16.7000007629395,1,9.80000019073486
"1951-04-29","rp","1947-05-18","spd",34,1,34.2999992370605
"1951-05-06","ni","1947-02-20","cdu",23.7000007629395,1,19.8999996185303
"1951-05-06","ni","1947-02-20","fdp",8.30000019073486,1,8.80000019073486
"1951-05-06","ni","1947-02-20","spd",33.7000007629395,1,43.4000015258789
"1951-10-07","hb","1947-10-12","cdu",9.10000038146973,1,22
"1951-10-07","hb","1947-10-12","fdp",11.8000001907349,1,19.3999996185303
"1951-10-07","hb","1947-10-12","npd",7.69999980926514,1,NA
"1951-10-07","hb","1947-10-12","spd",39.0999984741211,1,41.7000007629395
"1952-03-09","bw",NA,"cdu",36,1,NA
"1952-03-09","bw",NA,"fdp",18,1,NA
"1952-03-09","bw",NA,"spd",28,1,NA
"1953-11-01","hh","1949-10-16","cdu",50,1,34.5
"1953-11-01","hh","1949-10-16","spd",45.2000007629395,1,42.7999992370605
"1954-06-27","nw","1950-06-18","cdu",41.2999992370605,1,36.9000015258789
"1954-06-27","nw","1950-06-18","fdp",11.5,1,12.1000003814697
"1954-06-27","nw","1950-06-18","spd",34.5,1,32.2999992370605
"1954-09-12","sh","1950-07-09","cdu",32.2000007629395,1,19.7999992370605
"1954-09-12","sh","1950-07-09","fdp",7.5,1,7.09999990463257
"1954-09-12","sh","1950-07-09","spd",33.2000007629395,1,27.5
"1954-11-28","by","1950-11-26","cdu",38,1,27.3999996185303
"1954-11-28","by","1950-11-26","fdp",7.19999980926514,1,7.09999990463257
"1954-11-28","by","1950-11-26","spd",28.1000003814697,1,28
"1954-11-28","he","1950-11-19","cdu",24.1000003814697,1,18.7999992370605
"1954-11-28","he","1950-11-19","fdp",20.5,1,31.7999992370605
"1954-11-28","he","1950-11-19","spd",42.5999984741211,1,44.4000015258789
"1954-12-05","be","1950-12-03","cdu",30.3999996185303,1,24.7000007629395
"1954-12-05","be","1950-12-03","fdp",12.8000001907349,1,23.1000003814697
"1954-12-05","be","1950-12-03","spd",44.5999984741211,1,44.7000007629395
"1955-04-24","ni","1951-05-06","cdu",26.6000003814697,1,23.7000007629395
"1955-04-24","ni","1951-05-06","fdp",7.90000009536743,1,8.30000019073486
"1955-04-24","ni","1951-05-06","npd",12.3999996185303,1,17.8999996185303
"1955-04-24","ni","1951-05-06","spd",35.2000007629395,1,33.7000007629395
"1955-05-15","rp","1951-04-29","cdu",46.7999992370605,1,39.2000007629395
"1955-05-15","rp","1951-04-29","fdp",12.6999998092651,1,16.7000007629395
"1955-05-15","rp","1951-04-29","spd",31.7000007629395,1,34
"1955-10-09","hb","1951-10-07","cdu",18,1,9.10000038146973
"1955-10-09","hb","1951-10-07","fdp",8.60000038146973,1,11.8000001907349
"1955-10-09","hb","1951-10-07","spd",47.7999992370605,1,39.0999984741211
"1955-12-18","sl","1947-10-05","cdu",25.3999996185303,1,NA
"1955-12-18","sl","1947-10-05","fdp",24.2000007629395,1,7.59999990463257
"1955-12-18","sl","1947-10-05","spd",14.3000001907349,1,NA
"1956-03-04","bw","1952-03-09","cdu",42.5999984741211,1,36
"1956-03-04","bw","1952-03-09","fdp",16.6000003814697,1,18
"1956-03-04","bw","1952-03-09","spd",28.8999996185303,1,28
"1957-11-10","hh","1953-11-01","cdu",32.2000007629395,1,50
"1957-11-10","hh","1953-11-01","fdp",8.60000038146973,1,18.2000007629395
"1957-11-10","hh","1953-11-01","spd",53.9000015258789,1,45.2000007629395
"1958-07-06","nw","1954-06-27","cdu",50.5,1,41.2999992370605
"1958-07-06","nw","1954-06-27","fdp",7.09999990463257,1,11.5
"1958-07-06","nw","1954-06-27","spd",39.2000007629395,1,34.5
"1958-11-23","by","1954-11-28","cdu",45.5999984741211,1,38
"1958-11-23","by","1954-11-28","fdp",5.59999990463257,1,7.19999980926514
"1958-11-23","by","1954-11-28","spd",30.7999992370605,1,28.1000003814697
"1958-11-23","he","1954-11-28","cdu",32,1,24.1000003814697
"1958-11-23","he","1954-11-28","fdp",9.5,1,20.5
"1958-11-23","he","1954-11-28","spd",46.9000015258789,1,42.5999984741211
"1958-11-28","sh","1954-09-12","cdu",44.4000015258789,1,32.2000007629395
"1958-11-28","sh","1954-09-12","fdp",5.40000009536743,1,7.5
"1958-11-28","sh","1954-09-12","spd",35.9000015258789,1,33.2000007629395
"1958-12-07","be","1954-12-05","cdu",37.7000007629395,1,30.3999996185303
"1958-12-07","be","1954-12-05","fdp",3.79999995231628,1,12.8000001907349
"1958-12-07","be","1954-12-05","spd",52.5999984741211,1,44.5999984741211
"1959-04-19","ni","1955-04-24","cdu",30.7999992370605,1,26.6000003814697
"1959-04-19","ni","1955-04-24","fdp",5.19999980926514,1,7.90000009536743
"1959-04-19","ni","1955-04-24","npd",12.3999996185303,1,12.3999996185303
"1959-04-19","ni","1955-04-24","spd",39.5,1,35.2000007629395
"1959-04-19","rp","1955-05-15","cdu",48.4000015258789,1,46.7999992370605
"1959-04-19","rp","1955-05-15","fdp",9.69999980926514,1,12.6999998092651
"1959-04-19","rp","1955-05-15","spd",34.9000015258789,1,31.7000007629395
