"land","pm_name","pm_party","cabinet_name","year_start","year_end","party","year_next_election","cabinet_party","is_pm_party"
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"bdv",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"bhe",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"bp",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"bsw",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"cdu",1946,1,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"cvp",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"dp",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"dps",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"fdp",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"fw",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"gb/bhe",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"gru",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"kpd",1946,1,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"lin",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"lpd",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"nlp",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"pro",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"spd",1946,1,1
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"sps",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"ssw",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"statt",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"wav",1946,0,0
"by","Wilhelm Hoegner","spd","Kabinett Hoegner I",1945,1946,"zentrum",1946,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"bdv",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"bhe",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"bp",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"bsw",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"cdu",1945,1,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"cvp",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"dp",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"dps",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"fdp",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"fw",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"gb/bhe",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"gru",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"kpd",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"lin",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"lpd",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"nlp",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"pro",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"spd",1945,1,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"sps",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"ssw",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"statt",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"wav",1945,0,0
"by","Fritz Schäffer","parteilos","Kabinett Schäffer",1945,1945,"zentrum",1945,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"bdv",1946,1,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"bhe",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"bp",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"bsw",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"cdu",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"cvp",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"dp",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"dps",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"fdp",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"fw",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"gb/bhe",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"gru",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"kpd",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"lin",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"lpd",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"nlp",1946,0,0
"hb","Wilhelm Kaisen","spd","Kaisen I",1945,1946,"pro",1946,0,0
